scorer,filename,courtship_score,confidence_score,folder
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0004_arena_6_20250307_173852_454.jpg,0.01,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0005_arena_1_20250307_173853_689.jpg,0.01,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0005_arena_2_20250307_173853_689.jpg,0.01,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0005_arena_3_20250307_173853_689.jpg,0.00,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0005_arena_4_20250307_173853_689.jpg,0.01,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0005_arena_5_20250307_173853_689.jpg,0.01,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0005_arena_6_20250307_173853_689.jpg,0.01,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0006_arena_1_20250307_173854_937.jpg,0.01,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0006_arena_2_20250307_173854_937.jpg,0.02,0.91,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0006_arena_3_20250307_173854_937.jpg,0.01,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0006_arena_4_20250307_173854_937.jpg,0.01,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0006_arena_5_20250307_173854_937.jpg,0.01,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0006_arena_6_20250307_173854_937.jpg,0.01,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0007_arena_1_20250307_173856_129.jpg,0.00,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0007_arena_2_20250307_173856_129.jpg,0.02,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0007_arena_3_20250307_173856_129.jpg,0.02,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0007_arena_4_20250307_173856_129.jpg,0.03,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0007_arena_5_20250307_173856_129.jpg,0.02,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0007_arena_6_20250307_173856_129.jpg,0.02,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0008_arena_1_20250307_173857_409.jpg,0.01,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0008_arena_2_20250307_173857_409.jpg,0.02,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0008_arena_3_20250307_173857_409.jpg,0.02,0.88,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0008_arena_4_20250307_173857_409.jpg,0.01,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0008_arena_5_20250307_173857_409.jpg,0.04,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0008_arena_6_20250307_173857_409.jpg,0.02,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0009_arena_1_20250307_173858_607.jpg,0.03,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0009_arena_2_20250307_173858_607.jpg,0.02,0.88,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0009_arena_3_20250307_173858_607.jpg,0.01,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0009_arena_4_20250307_173858_607.jpg,0.01,0.88,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0009_arena_5_20250307_173858_607.jpg,0.02,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0009_arena_6_20250307_173858_607.jpg,0.02,0.88,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0010_arena_1_20250307_173859_952.jpg,0.02,0.88,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0010_arena_2_20250307_173859_952.jpg,0.02,0.88,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0010_arena_3_20250307_173859_952.jpg,0.01,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0010_arena_4_20250307_173859_952.jpg,0.02,0.88,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0010_arena_5_20250307_173859_952.jpg,0.02,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0010_arena_6_20250307_173859_952.jpg,0.03,0.88,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0011_arena_1_20250307_173901_224.jpg,0.03,0.88,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0011_arena_2_20250307_173901_224.jpg,0.04,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0011_arena_3_20250307_173901_224.jpg,0.03,0.90,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0011_arena_4_20250307_173901_224.jpg,0.03,0.93,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0011_arena_5_20250307_173901_224.jpg,0.04,0.91,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0011_arena_6_20250307_173901_224.jpg,0.04,0.85,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0012_arena_1_20250307_173902_491.jpg,0.04,0.88,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0012_arena_2_20250307_173902_491.jpg,0.02,0.82,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0012_arena_3_20250307_173902_491.jpg,0.02,0.86,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0012_arena_4_20250307_173902_491.jpg,0.02,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0012_arena_5_20250307_173902_491.jpg,0.02,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0012_arena_6_20250307_173902_491.jpg,0.02,0.83,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0013_arena_1_20250307_173903_760.jpg,0.02,0.86,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0013_arena_2_20250307_173903_760.jpg,0.02,0.79,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0013_arena_3_20250307_173903_760.jpg,0.02,0.83,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0013_arena_4_20250307_173903_760.jpg,0.02,0.86,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0013_arena_5_20250307_173903_760.jpg,0.03,0.91,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0013_arena_6_20250307_173903_760.jpg,0.03,0.85,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0014_arena_1_20250307_173904_978.jpg,0.04,0.87,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0014_arena_2_20250307_173904_978.jpg,0.90,0.88,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0014_arena_3_20250307_173904_978.jpg,0.04,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0014_arena_4_20250307_173904_978.jpg,0.90,0.60,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0014_arena_5_20250307_173904_978.jpg,0.21,0.70,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0014_arena_6_20250307_173904_978.jpg,0.90,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0015_arena_1_20250307_173906_254.jpg,0.90,0.79,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0015_arena_2_20250307_173906_254.jpg,0.90,0.80,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0015_arena_3_20250307_173906_254.jpg,0.51,0.50,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0015_arena_4_20250307_173906_254.jpg,0.51,0.50,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0015_arena_5_20250307_173906_254.jpg,0.20,0.50,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0015_arena_6_20250307_173906_254.jpg,0.90,0.80,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0016_arena_1_20250307_173907_689.jpg,0.90,0.80,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0016_arena_2_20250307_173907_689.jpg,0.89,0.60,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0016_arena_3_20250307_173907_689.jpg,0.60,0.71,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0016_arena_4_20250307_173907_689.jpg,0.80,0.61,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0016_arena_5_20250307_173907_689.jpg,0.20,0.41,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0016_arena_6_20250307_173907_689.jpg,0.30,0.60,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0017_arena_1_20250307_173909_450.jpg,0.90,0.84,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
amadabhushi,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged_frame_0017_arena_2_20250307_173909_450.jpg,0.91,0.89,2025-01-27_17-42-25_076e2825a7274661bd0697c42d6fa4c0__1920x1088@25fps-28q_merged
